,AMT_GOODS_PRICE,FLAG_EMP_PHONE,REGION_RATING_CLIENT_W_CITY,YEARS_BUILD_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,APARTMENTS_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,TOTALAREA_MODE,OBS_60_CNT_SOCIAL_CIRCLE
HOUR_APPR_PROCESS_START,,,,0.06696818,0.177536855,0.17779152,0.152578232,0.073131709,0.070521725,0.067252225,0.18137315,0.064754784,0.123682791,0.150094754,0.037794756,0.167228968,0.149733323,0.029706032,0.176411777,0.115899562,0.065752548,0.067262545,0.049018274,0.205839412,0.105483824,0.140047969,0.158478596,0.057508852,0.1690524,0.168983577,0.048406306,0.039971128,0.180665196,0.070921973
REG_REGION_NOT_LIVE_REGION,,,,0.059645924,0.040918883,0.039473243,0.013770756,0.064497514,0.063668302,0.036763083,0.042189705,0.013890795,0.130496231,0.121783586,0.01581366,0.009426531,0.016834768,0.028280479,0.010235583,0.001629788,0.059956159,0.060278745,0.036249667,0.034265009,0.015977609,0.123809845,0.11844362,0.01528868,0.008703828,0.016793505,0.018214878,0.03462791,0.031471764,0.086350381
REG_REGION_NOT_WORK_REGION,,,,0.057127942,0.031226127,0.037322323,0.031078087,0.060220376,0.059416708,0.014165967,0.027127599,0.032950687,0.002131287,0.02296317,0.044930151,0.02468025,0.027369278,0.037721097,0.037296418,0.048518359,0.056137114,0.05525502,0.023045392,0.035881708,0.039027684,0.00690749,0.016038039,0.055554936,0.029438924,0.034848449,0.067824542,0.031668241,0.033495663,0.042006885
LIVE_REGION_NOT_WORK_REGION,,,,0.011739993,0.051331515,0.069488868,0.057074402,0.013990027,0.013012968,0.046175036,0.063725597,0.065256778,0.011137794,0.022990198,0.067683853,0.046959702,0.066564311,0.039333096,0.062205334,0.08128367,0.010891493,0.009929681,0.053436957,0.069926021,0.073180785,0.019018286,0.016687967,0.079006675,0.051648545,0.06878836,0.073321313,0.03514476,0.053727864,0.018448669
REG_CITY_NOT_LIVE_CITY,,,,0.057059602,0.034526137,0.025083949,0.029696302,0.062007246,0.060588167,0.010115633,0.007540043,0.024384058,0.025978475,0.019093269,0.014476358,0.032516164,0.020331063,0.049170163,0.037070589,0.013685366,0.056056046,0.056501977,0.01841772,0.01622511,0.031902989,0.017434577,0.013626521,0.0197067,0.036283792,0.025756086,0.042668175,0.057935649,0.030752421,0.020724895
REG_CITY_NOT_WORK_CITY,,,,0.007602966,0.147395562,0.150560996,0.141051942,0.008752461,0.004022354,0.081831034,0.129788106,0.106655007,0.119956348,0.112148461,0.075910508,0.143149563,0.137277633,0.02921049,0.15208075,0.133898888,0.003645078,0.007225124,0.09521386,0.139712472,0.117133503,0.128551823,0.112292233,0.082404728,0.148225076,0.151194115,0.069439587,0.043944551,0.156017726,0.079162263
LIVE_CITY_NOT_WORK_CITY,,,,0.01316873,0.140879473,0.149715238,0.138307584,0.013485167,0.018229305,0.089270613,0.134640663,0.104869337,0.115550497,0.107584752,0.078014586,0.139270012,0.142339271,0.023624245,0.147841344,0.131488626,0.017046598,0.013391095,0.100842392,0.142674033,0.115131151,0.122281611,0.10603593,0.083405754,0.14351452,0.152051897,0.0643553,0.036434749,0.143498456,0.068747885
EXT_SOURCE_1,,,,0.050476317,0.076162463,0.125688054,0.099832305,0.0649937,0.049575534,0.046312801,0.155350917,0.022730803,0.171286017,0.106974353,0.026283634,0.075970346,0.115813291,0.092669337,0.110074812,0.066518668,0.055059773,0.049860902,0.047683562,0.148407161,0.027842254,0.184670658,0.115764274,0.019726364,0.073721595,0.120173741,0.037914578,0.096746497,0.141729738,0.01163021
EXT_SOURCE_2,,,,0.049017528,0.156672871,0.175289982,0.149047311,0.039365588,0.042008957,0.155303721,0.172086623,0.060742459,0.196320384,0.182207565,0.007252002,0.133742379,0.158805396,0.0476919,0.158177232,0.085310323,0.047034882,0.049952948,0.164687536,0.18941408,0.084219938,0.210895427,0.191025512,0.023216999,0.147874669,0.165489623,0.028618468,0.041796924,0.184289124,0.100340644
EXT_SOURCE_3,,,,0.098552558,0.165570928,0.166822523,0.16045911,0.094723789,0.09783416,0.091041995,0.176048606,0.047729228,0.149899889,0.129435411,0.091719754,0.16132178,0.153953629,0.03354803,0.167992938,0.075000733,0.101672159,0.097862822,0.104406964,0.184150372,0.067293182,0.157179264,0.129218064,0.1047325,0.166709246,0.162621836,0.004591598,0.032563769,0.162438576,0.072908554
APARTMENTS_AVG,,,,0.344115701,0.954515011,0.948784595,0.96163555,0.346244356,0.342260037,0.583304646,0.823098031,0.549567976,0.628597446,0.457642696,0.406703774,0.939428687,0.904280126,0.217750985,0.993933031,0.755308529,0.349825505,0.344386628,0.58590635,0.845395335,0.585897866,0.626526569,0.472617986,0.438904495,0.949666539,0.942516963,0.162973593,0.225281895,0.900427271,0.051543023
BASEMENTAREA_AVG,,,,0.275205,0.659365916,0.700062725,0.6341367,0.268107452,0.274542148,0.354074497,0.544795872,0.57975712,0.322374457,0.248175643,0.363372106,0.62792826,0.623867486,0.091619612,0.672038515,0.87332537,0.276129269,0.276772726,0.453787425,0.574232298,0.624109846,0.32112572,0.26420657,0.403302494,0.661342025,0.70440277,0.075270044,0.100309842,0.652543963,0.032085582
YEARS_BEGINEXPLUATATION_AVG,,,,0.993910955,0.340757846,0.36257273,0.331799764,0.991267751,0.99073902,0.225948145,0.323143874,0.027000744,0.542415276,0.327953226,0.114805758,0.321562457,0.330495096,0.149128773,0.349560913,0.271710444,0.998381447,0.993525047,0.243385956,0.332951302,0.056935985,0.548701084,0.338673448,0.141323132,0.338573637,0.361029018,0.104426168,0.170546635,0.365714042,0.09950038
YEARS_BUILD_AVG,,,,,0.335191394,0.355178447,0.330087898,0.985744935,0.996527962,0.211958156,0.323050653,0.034957703,0.535574403,0.324658702,0.116444867,0.315665796,0.32685356,0.147480927,0.342920569,0.274089661,0.994425688,0.999730265,0.229818529,0.326490027,0.055705545,0.538360925,0.335429518,0.13529871,0.332988363,0.353711324,0.099499942,0.165166685,0.362786592,0.073601667
COMMONAREA_AVG,,,,,0.596976183,0.554860733,0.554955937,0.231727184,0.229741152,0.973372651,0.506139764,0.305964328,0.483102242,0.302171024,0.229479159,0.596373519,0.505638488,0.19871797,0.588684679,0.439802189,0.239983564,0.227696106,0.993109841,0.531619931,0.363715518,0.480031249,0.297051549,0.288037945,0.59362655,0.552367577,0.122363868,0.195023762,0.530290726,0.008553067
ELEVATORS_AVG,,,,,0.801880345,0.890672414,0.801940706,0.320292436,0.31945313,0.517235527,0.958597021,0.359554064,0.690967086,0.523854377,0.318088333,0.779460755,0.835114023,0.222652737,0.847384768,0.635723356,0.329652814,0.32498427,0.533515312,0.991458908,0.400814662,0.704083669,0.549678614,0.358872756,0.79788074,0.882088034,0.124043974,0.247726303,0.839858366,0.047466272
ENTRANCES_AVG,,,,,0.565291199,0.620747757,0.571702294,0.058399251,0.056094814,0.367150845,0.381203583,0.944235446,0.06085703,0.032978753,0.477816216,0.56686377,0.590520499,0.0801902,0.59937098,0.722506717,0.060653363,0.057803144,0.368107681,0.405772151,0.989006955,0.052976533,0.03950502,0.50422062,0.562088549,0.621348372,0.092990479,0.088496626,0.571234491,0.026608689
FLOORSMAX_AVG,,,,,0.594707143,0.636480487,0.603442636,0.546668114,0.541767624,0.45322489,0.695763573,0.027819845,0.980703662,0.7177277,0.182158481,0.564927733,0.609969583,0.194878836,0.613807071,0.336250867,0.547330017,0.543846478,0.46927415,0.698714802,0.047498021,0.996258888,0.7326181,0.205169326,0.586589075,0.623991783,0.156586017,0.20914171,0.659467934,0.057540417
FLOORSMIN_AVG,,,,,0.454880343,0.490994435,0.451336982,0.331184229,0.337188407,0.271094694,0.534067855,0.016645461,0.724478248,0.987525052,0.155928004,0.430105799,0.470778708,0.104767719,0.454717702,0.265957027,0.336248903,0.337017116,0.286736118,0.535777312,0.02080424,0.737805205,0.997702126,0.172787024,0.444178992,0.478437452,0.05005736,0.111692442,0.485843748,0.028439961
LANDAREA_AVG,,,,,0.43506513,0.49044896,0.412025542,0.136540883,0.133502376,0.287576215,0.339062166,0.465407316,0.204820627,0.165713598,0.965055475,0.433383744,0.460133232,0.11117379,0.444327906,0.453599544,0.141953282,0.135820713,0.290834948,0.365394859,0.505259637,0.199929138,0.171488616,0.9986894,0.440350983,0.49591025,0.10504946,0.119590111,0.437491532,0.053502748
LIVINGAPARTMENTS_AVG,,,,,,0.910580819,0.889970937,0.327308187,0.33231412,0.591110973,0.755582817,0.484770134,0.602180447,0.441389651,0.37291645,0.98540016,0.83362687,0.186923527,0.948437829,0.742122191,0.342042431,0.33536882,0.587829308,0.794525141,0.551250949,0.594586321,0.457171519,0.435902422,0.994765373,0.904333076,0.18401083,0.205790675,0.842899261,0.039956579
LIVINGAREA_AVG,,,,,,,0.908346846,0.355670636,0.352536476,0.545461607,0.860244958,0.566354233,0.634319504,0.474105504,0.456015366,0.896554815,0.955788561,0.204276908,0.945749295,0.783986782,0.361403932,0.355385601,0.552003537,0.885282184,0.610755815,0.636779331,0.490428871,0.492855866,0.908681766,0.996007058,0.154681959,0.216641406,0.922083232,0.044411469
NONLIVINGAPARTMENTS_AVG,,,,,,,0.135976952,0.105214163,0.106641853,0.122952508,0.100195376,0.058421376,0.155023003,0.048319286,0.064325616,0.169079912,0.119413585,0.143948947,0.162905955,0.092468024,0.11067925,0.105189057,0.119091329,0.122564885,0.094421624,0.157511686,0.050119198,0.103077216,0.180505993,0.15523748,0.996768472,0.165747957,0.122475516,0.037194859
NONLIVINGAREA_AVG,,,,,,,0.206413567,0.173781206,0.171495128,0.201449906,0.245036501,0.060180435,0.198953862,0.111815449,0.088224015,0.196450494,0.205853131,0.948382849,0.231764798,0.13068744,0.172862657,0.168297596,0.214095734,0.253797889,0.095360427,0.219553805,0.118020285,0.113713818,0.206878948,0.218879656,0.159836727,0.987982888,0.276042329,0.032602846
APARTMENTS_MODE,,,,,,,,0.340367998,0.333698634,0.564703317,0.840298637,0.596672477,0.618541131,0.453882887,0.429947951,0.898663629,0.936238463,0.235138483,0.964201468,0.715487195,0.329610754,0.32952984,0.552673018,0.807285623,0.571270639,0.599240627,0.452755918,0.413555628,0.892215493,0.907675626,0.140232425,0.21101872,0.877213806,0.043625027
BASEMENTAREA_MODE,,,,,,,,0.256993414,0.26451566,0.398074679,0.608770881,0.703483358,0.335799052,0.234897682,0.440107119,0.708337062,0.750545211,0.127825325,0.732596599,0.967939199,0.254284066,0.262519945,0.388843728,0.603540944,0.697641327,0.317885055,0.247427798,0.413346127,0.699146661,0.751776167,0.064780576,0.10925811,0.715948815,0.006092423
YEARS_BEGINEXPLUATATION_MODE,,,,,,,,,0.988957579,0.218667013,0.326005301,0.04412408,0.545489344,0.325557996,0.125234665,0.311014289,0.335654104,0.155833927,0.34641119,0.264445519,0.9917348,0.984865695,0.234543048,0.323376921,0.058162244,0.542045122,0.328957516,0.138233896,0.325087426,0.355264974,0.100062744,0.171880331,0.360654346,0.108050457
YEARS_BUILD_MODE,,,,,,,,,,0.217049373,0.323264138,0.039444964,0.536641084,0.331985537,0.120432246,0.316162228,0.330043958,0.152349117,0.340951177,0.271704864,0.991665363,0.995622695,0.232628067,0.320496167,0.053929129,0.536296767,0.335037372,0.133491376,0.330048231,0.350853928,0.101540761,0.168613961,0.357475114,0.069285315
COMMONAREA_MODE,,,,,,,,,,,0.501961981,0.321769349,0.468485356,0.284225028,0.241973553,0.616029239,0.523483838,0.215121584,0.587251825,0.437737733,0.223121804,0.211045605,0.965823667,0.520574615,0.364939847,0.45446084,0.274447306,0.286263969,0.593739553,0.549333309,0.126764942,0.201405752,0.514320124,0.02831256
ELEVATORS_MODE,,,,,,,,,,,,0.406854532,0.695572924,0.523233678,0.340413465,0.758239469,0.866357469,0.24089458,0.829856167,0.600579264,0.321500665,0.322360888,0.505499482,0.969271225,0.389438965,0.68943262,0.532420628,0.34168902,0.759841076,0.859936907,0.101874572,0.245151723,0.831105936,0.040508201
ENTRANCES_MODE,,,,,,,,,,,,,0.047989286,0.021025495,0.49391215,0.513053184,0.603735954,0.090102155,0.566463142,0.669338676,0.030803475,0.034621954,0.309336189,0.378858445,0.955644961,0.021904994,0.018317601,0.467969883,0.495955747,0.577273441,0.064785212,0.071941824,0.533777525,0.039806989
FLOORSMAX_MODE,,,,,,,,,,,,,,0.724121049,0.200337844,0.580220761,0.616776767,0.204969901,0.615171714,0.343726162,0.537379215,0.534345413,0.468913254,0.682555207,0.046296923,0.982018477,0.727475521,0.208239987,0.591033439,0.624886328,0.154774156,0.196038027,0.643824282,0.051490884
FLOORSMIN_MODE,,,,,,,,,,,,,,,0.163432818,0.425489041,0.468784156,0.112435806,0.439165005,0.249284777,0.324142103,0.323128849,0.290055998,0.507052986,0.009600525,0.720441273,0.989029706,0.167980024,0.429311211,0.462365532,0.047656926,0.102667106,0.460463261,0.022609947
LANDAREA_MODE,,,,,,,,,,,,,,,,0.382480354,0.485083983,0.119313164,0.412779069,0.432113183,0.11665215,0.116042986,0.228797072,0.321598358,0.476714861,0.181968737,0.158753393,0.965799992,0.378776192,0.462491211,0.070197105,0.09765441,0.428952678,0.043715159
LIVINGAPARTMENTS_MODE,,,,,,,,,,,,,,,,,0.840550981,0.197438454,0.943790465,0.746943835,0.32226511,0.314889626,0.591329286,0.783243308,0.563769835,0.562606862,0.433092415,0.434247198,0.98941663,0.897357757,0.173016035,0.202082155,0.826413015,0.029100828
LIVINGAREA_MODE,,,,,,,,,,,,,,,,,,0.227274304,0.90496496,0.736825018,0.326215903,0.32634615,0.504419169,0.834956366,0.586663663,0.609915807,0.470704114,0.463618264,0.835710171,0.95434762,0.123984546,0.212124375,0.896055261,0.033535002
NONLIVINGAPARTMENTS_MODE,,,,,,,,,,,,,,,,,,0.174151349,0.172012019,0.114100259,0.062793615,0.056325856,0.154151118,0.110355096,0.131978995,0.065864377,0.046107905,0.121542457,0.178947576,0.161450663,0.891304849,0.173193841,0.122845441,0.023292745
NONLIVINGAREA_MODE,,,,,,,,,,,,,,,,,,,0.220372422,0.120786305,0.148817813,0.146937232,0.199432345,0.224334723,0.084231005,0.193882763,0.104693728,0.111401366,0.188021138,0.209710687,0.145793145,0.963405211,0.248471284,0.026280519
APARTMENTS_MEDI,,,,,,,,,,,,,,,,,,,,0.761099611,0.348731316,0.342751131,0.588370013,0.852050751,0.599311254,0.613082203,0.455604928,0.446563614,0.953530451,0.947824319,0.1647388,0.231359262,0.898385383,0.050720179
BASEMENTAREA_MEDI,,,,,,,,,,,,,,,,,,,,,0.273460355,0.274282433,0.442966096,0.636028469,0.716556956,0.339409731,0.26856751,0.453596033,0.749241561,0.78929794,0.092549593,0.129289892,0.728948637,0.018030483
YEARS_BEGINEXPLUATATION_MEDI,,,,,,,,,,,,,,,,,,,,,,0.994642922,0.242193519,0.331575329,0.060178259,0.540987816,0.333624999,0.14204042,0.339484755,0.359938457,0.104564305,0.169063634,0.363368415,0.096473267
YEARS_BUILD_MEDI,,,,,,,,,,,,,,,,,,,,,,,0.229710624,0.326283189,0.056319438,0.537277347,0.33470297,0.135308083,0.332678032,0.353682085,0.099024538,0.164583751,0.362591869,0.073504842
COMMONAREA_MEDI,,,,,,,,,,,,,,,,,,,,,,,,0.531727073,0.370413407,0.470044446,0.283930298,0.288860899,0.593347625,0.554233238,0.12198238,0.19515565,0.537707258,0.006738817
ELEVATORS_MEDI,,,,,,,,,,,,,,,,,,,,,,,,,0.414378759,0.693106501,0.533180448,0.367470875,0.799157571,0.88493522,0.12451846,0.251721863,0.832192381,0.049230011
ENTRANCES_MEDI,,,,,,,,,,,,,,,,,,,,,,,,,,0.040657057,0.016385775,0.506482554,0.560331647,0.618750316,0.093061893,0.095619999,0.567316723,0.024787689
FLOORSMAX_MEDI,,,,,,,,,,,,,,,,,,,,,,,,,,,0.736604202,0.201887924,0.584601758,0.624446544,0.156375588,0.206686977,0.657645727,0.057043608
FLOORSMIN_MEDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173412036,0.445097479,0.479409081,0.049567519,0.109348016,0.477388706,0.027108265
LANDAREA_MEDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.441586505,0.499640711,0.104878633,0.11984508,0.436710664,0.054993273
LIVINGAPARTMENTS_MEDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.909033185,0.184026004,0.206274549,0.846231255,0.041231756
LIVINGAREA_MEDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155890897,0.22170775,0.914566195,0.042515168
NONLIVINGAPARTMENTS_MEDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164163165,0.11953702,0.037593108
NONLIVINGAREA_MEDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251488931,0.026520071
TOTALAREA_MODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030738711
OBS_30_CNT_SOCIAL_CIRCLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999400825
DEF_30_CNT_SOCIAL_CIRCLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.431219812
